420	14963.24	14981.60	14988.33	14991.97	14994.09	14995.56	14996.62	14996.46 14996.37 14995.26 14993.43 14991.98 14989.05 14985.38 14979.27	14964.04
440	14963.97	14982.46	14989.21	14992.90	14995.03	14996.59	14997.65	14997.53 14997.57 14996.58 14994.89 14993.40 14990.43 14986.69 14980.55	14965.26
460	14964.93	14983.40	14990.14	14993.91	14996.21	14997.75	14998.84	14998.82 14998.89 14997.98 14996.35 14994.91 14991.96 14988.27 14982.04	14966.74
480	14965.71	14984.19	14991.05	14994.84	14997.02	14998.60	14999.92	14999.92 15000.04 14999.25 14997.56 14996.12 14993.25 14989.51 14983.34	14967.97
500	14966.13	14984.75	14991.63	14995.63	14997.80	14999.41	15000.58	15000.67 15000.89 15000.05 14998.52 14997.17 14994.36 14990.52 14984.31	14968.93
520	14966.75	14985.52	14992.53	14996.35	14998.65	15000.34	15001.62	15001.73 15001.95 15001.08 14999.54 14998.18 14995.27 14991.57 14985.34	14969.90
540	14967.53	14986.51	14993.63	14997.45	14999.80	15001.53	15002.75	15003.00 15003.12 15002.39 15000.73 14999.41 14996.51 14992.88 14986.50	14971.06
560	14968.64	14987.53	14994.58	14998.46	15000.77	15002.43	15003.87	15003.94 15004.19 15003.43 15001.63 15000.30 14997.37 14993.69 14987.41	14972.01
580	14969.54	14988.26	14995.32	14999.25	15001.44	15003.33	15004.49	15004.81 15004.78 15003.91 15002.38 15000.94 14998.05 14994.26 14987.93	14972.72
600	14970.18	14989.16	14996.10	14999.93	15002.19	15003.90	15005.19	15005.32 15005.49 15004.55 15003.00 15001.56 14998.59 14994.79 14988.65	14973.17
620	14971.02	14989.81	14996.92	15000.76	15003.06	15004.67	15005.90	15006.09 15006.12 15005.20 15003.59 15002.17 14999.22 14995.33 14989.07	14973.75
640	14971.65	14990.64	14997.72	15001.71	15003.82	15005.45	15006.67	15006.86 15006.98 15006.01 15004.33 15002.93 14999.85 14996.23 14989.83	14974.41
660	14971.93	14990.89	14997.98	15001.96	15004.25	15005.80	15007.04	15007.12 15007.20 15006.23 15004.46 15003.10 15000.10 14996.19 14989.90	14974.55
680	14972.27	14991.18	14998.49	15002.29	15004.60	15006.19	15007.43	15007.47 15007.63 15006.68 15004.81 15003.31 15000.25 14996.52 14990.12	14974.82
700	14972.14	14991.33	14998.55	15002.46	15004.82	15006.31	15007.69	15007.62 15007.80 15006.80 15004.88 15003.38 15000.27 14996.38 14990.05	14974.74
720	14972.47	14991.48	14998.51	15002.38	15004.69	15006.34	15007.65	15007.63 15007.68 15006.81 15004.84 15003.27 15000.26 14996.48 14990.08	14974.78
740	14972.52	14991.61	14998.75	15002.42	15004.67	15006.43	15007.53	15007.61 15007.56 15006.56 15004.72 15003.13 15000.06 14996.31 14989.94	14974.63
760	14972.47	14991.42	14998.54	15002.36	15004.54	15006.12	15007.38	15007.40 15007.38 15006.36 15004.44 15002.90 14999.88 14996.02 14989.64	14974.27
780	14972.33	14991.28	14998.24	15002.05	15004.47	15005.89	15007.11	15006.99 15007.03 15005.93 15004.10 15002.59 14999.43 14995.78 14989.35	14973.96
800	14971.91	14990.81	14997.82	15001.56	15003.79	15005.37	15006.61	15006.52 15006.54 15005.45 15003.54 15001.98 14998.88 14995.07 14988.76	14973.54
820	14971.17	14990.08	14997.07	15000.85	15003.05	15004.70	15005.81	15005.71 15005.78 15004.57 15002.77 15001.15 14998.07 14994.21 14987.90	14972.66
840	14970.44	14989.56	14996.53	15000.21	15002.42	15003.94	15005.09	15005.14 15005.04 15003.93 15002.00 15000.38 14997.34 14993.68 14987.28	14972.00
860	14969.81	14988.82	14995.76	14999.60	15001.68	15003.24	15004.33	15004.14 15004.05 15002.97 15001.14 14999.61 14996.42 14992.75 14986.37	14971.26
880	14969.60	14988.43	14995.41	14999.02	15001.20	15002.52	15003.77	15003.43 15003.45 15002.32 15000.41 14998.82 14995.71 14992.00 14985.71	14970.51
900	14969.26	14987.95	14994.69	14998.31	15000.29	15001.68	15002.94	15002.49 15002.42 15001.28 14999.38 14997.93 14994.74 14990.99 14984.78	14969.56
920	14969.02	14987.53	14994.15	14997.58	14999.54	15000.84	15001.91	15001.52 15001.45 15000.24 14998.24 14996.72 14993.70 14990.07 14983.83	14968.64
940	14968.46	14986.81	14993.19	14996.57	14998.57	14999.71	15000.72	15000.31 15000.17 14998.99 14996.99 14995.44 14992.47 14988.85 14982.61	14967.53
960	14967.37	14985.53	14992.12	14995.51	14997.35	14998.70	14999.52	14999.08 14998.89 14997.64 14995.60 14994.15 14991.15 14987.61 14981.44	14966.46
980	14966.77	14984.71	14991.09	14994.38	14996.30	14997.33	14998.25	14997.65 14997.40 14996.18 14994.15 14992.61 14989.60 14986.10 14980.15	14965.01
1000	14965.83	14983.89	14990.13	14993.45	14995.00	14996.11	14996.86	14996.18 14995.96 14994.63 14992.64 14991.06 14988.20 14984.49 14978.58	14963.53
1020	14964.81	14982.76	14988.73	14991.73	14993.28	14994.26	14994.95	14994.24 14993.96 14992.64 14990.67 14989.05 14986.24 14982.50 14976.50	14961.58
1040	14963.01	14981.05	14986.90	14989.90	14991.40	14992.32	14993.00	14992.27 14991.89 14990.63 14988.72 14986.93 14984.01 14980.31 14974.16	14959.17
1060	14961.23	14979.06	14985.04	14988.11	14989.62	14990.33	14991.07	14990.29 14990.10 14988.75 14986.64 14984.96 14981.91 14978.29 14972.00	14956.97
